season,season_type,player_id,team,player_name,player_display_name,games,position,position_group,headshot_url,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_att,gwfg_distance_list,gwfg_made,gwfg_missed,gwfg_blocked
1999,REG+POST,00-0001343,NYG,,Cary Blanchard,10,K,SPEC,,18,21,3,0,48,0.857,0,7,2,9,0,0,0,0,2,1,0,0,41;28;33;42;44;45;24;41;31;42;21;21;48;23;24;43;42;29,34;42;39,,622,115,0,19,19,0,0,1,1,48,1,0,0
1999,REG+POST,00-0001460,CHI,,Chris Boniol,10,K,SPEC,,11,18,7,0,46,0.611,0,6,2,3,0,0,0,0,4,2,1,0,46;40;41;28;34;29;26;36;27;24;23,32;44;34;41;33;51;30,,354,265,0,17,18,1,0,0.944,2,41;36,1,1,0
1999,REG+POST,00-0001759,NO,,Doug Brien,15,K,SPEC,,24,29,5,0,52,0.828,0,9,6,7,2,0,0,2,1,2,0,0,46;21;30;42;24;42;25;49;22;46;29;39;37;28;52;51;42;45;35;24;34;29;26;32,28;49;47;39;24,,850,187,0,20,21,1,0,0.952,1,46,1,0,0
1999,REG+POST,00-0001980,PIT,,Kris Brown,16,K,SPEC,,25,29,3,1,51,0.862,2,5,9,8,1,0,0,0,1,2,0,0,19;28;19;32;28;36;33;48;43;51;25;28;38;41;32;47;24;35;33;40;38;31;42;47;46,31;44;46,49,884,121,49,30,31,0,1,0.968,1,36,1,0,0
1999,REG+POST,00-0002655,LAC,,John Carney,15,K,SPEC,,31,36,4,1,50,0.861,2,13,6,9,1,0,0,0,1,3,0,0,27;23;21;42;50;33;24;28;41;28;46;39;28;28;40;40;44;19;30;33;42;28;41;23;22;31;48;19;37;25;28,47;42;36;46,38,1008,171,38,22,23,0,1,0.957,3,41;41;37,3,0,0
1999,REG+POST,00-0002975,BUF,,Steve Christie,17,K,SPEC,,26,35,9,0,52,0.743,2,10,7,4,3,0,0,0,3,6,0,0,36;29;35;24;29;19;36;26;52;31;29;50;25;40;23;20;31;48;47;28;50;33;39;23;19;41,44;45;49;36;35;40;45;39;48,,863,381,0,34,34,0,0,1,1,23,1,0,0
1999,REG+POST,00-0003395,WAS,,Brett Conway,18,K,SPEC,,26,37,8,3,51,0.703,0,9,7,7,3,0,0,2,1,0,5,0,25;42;48;26;50;31;36;36;24;50;51;41;24;21;37;43;27;42;23;32;47;34;33;23;28;48,52;55;50;38;50;28;28;51,53;49;31,922,352,133,53,54,0,1,0.981,2,31;27,2,0,0
1999,REG+POST,00-0003762,CAR,,Richie Cunningham,3,K,SPEC,,3,3,0,0,43,1,0,2,0,1,0,0,0,0,0,0,0,0,21;43;27,,,91,0,0,13,14,1,0,0.929,0,,,,
1999,REG+POST,00-0003762,DAL,,Richie Cunningham,11,K,SPEC,,12,21,9,0,47,0.571,0,4,5,3,0,0,0,1,1,6,1,0,23;42;38;32;24;39;44;47;36;23;20;34,47;50;48;41;42;37;22;48;43,,402,378,0,23,23,0,0,1,0,,,,
1999,REG+POST,00-0003841,NYG,,Brad Daluiso,6,K,SPEC,,7,9,2,0,36,0.778,0,4,3,0,0,0,0,0,0,2,0,0,36;35;25;23;31;27;21,41;42,,198,83,0,9,9,0,0,1,2,23;21,2,0,0
